Index: 810 | Bright Bodies: 20

Size: 29 | Area: 2277932.5 | Centroid: (39.509327 , 31.798883)
Size: 29 | Area: 1598614.4 | Centroid: (13.780683 , 42.76517)
Size: 15 | Area: 380772.94 | Centroid: (0.24762966 , 8.327802)
Size: 13 | Area: 192098.14 | Centroid: (8.789613 , 37.193607)
Size: 7 | Area: 78679.11 | Centroid: (15.011552 , 48.92209)
Size: 5 | Area: 64647.95 | Centroid: (22.374722 , 13.684275)
Size: 6 | Area: 58623.53 | Centroid: (27.582333 , 25.756113)
Size: 5 | Area: 46860.05 | Centroid: (11.444043 , 16.803547)
Size: 4 | Area: 37889.71 | Centroid: (2.3078063 , 35.670578)
Size: 7 | Area: 37438.55 | Centroid: (40.622665 , 38.90231)
Size: 4 | Area: 23774.727 | Centroid: (26.235405 , 35.5822)
Size: 2 | Area: 9409.346 | Centroid: (20.3503 , 46.0)
Size: 1 | Area: 9128.444 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8752.502 | Centroid: (30.402754 , 29.0)
Size: 2 | Area: 7010.046 | Centroid: (47.512848 , 43.0)
Size: 1 | Area: 4531.85 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3642.3748 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2781.0935 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 2718.869 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2680.8455 | Centroid: (18.0 , 19.0)
