Index: 805 | Bright Bodies: 19

Size: 32 | Area: 2302076.0 | Centroid: (39.836727 , 31.689081)
Size: 26 | Area: 1583519.6 | Centroid: (14.158822 , 42.511383)
Size: 15 | Area: 573207.4 | Centroid: (0.286776 , 8.085246)
Size: 14 | Area: 195393.98 | Centroid: (9.133403 , 36.892788)
Size: 8 | Area: 160898.75 | Centroid: (15.231809 , 48.894207)
Size: 7 | Area: 68259.805 | Centroid: (22.751432 , 13.368536)
Size: 6 | Area: 57780.83 | Centroid: (27.957218 , 25.525928)
Size: 6 | Area: 48710.113 | Centroid: (11.869095 , 16.535044)
Size: 4 | Area: 37200.523 | Centroid: (2.5275755 , 35.488503)
Size: 4 | Area: 31170.156 | Centroid: (41.29383 , 38.65897)
Size: 4 | Area: 24660.143 | Centroid: (26.357311 , 35.40075)
Size: 2 | Area: 11367.986 | Centroid: (44.306664 , 22.0)
Size: 3 | Area: 11017.446 | Centroid: (20.718727 , 45.684074)
Size: 2 | Area: 7173.456 | Centroid: (42.489796 , 9.0)
Size: 1 | Area: 5889.876 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4875.095 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3709.9648 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3410.5269 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2884.801 | Centroid: (41.0 , 19.0)
