Index: 1 | Bright Bodies: 23

Size: 30 | Area: 2298361.2 | Centroid: (40.44297 , 31.419336)
Size: 24 | Area: 1584359.1 | Centroid: (14.687531 , 42.29198)
Size: 18 | Area: 981268.94 | Centroid: (0.43173796 , 7.9713306)
Size: 9 | Area: 207133.42 | Centroid: (15.738959 , 48.879704)
Size: 14 | Area: 193560.72 | Centroid: (9.756949 , 36.666992)
Size: 6 | Area: 66365.45 | Centroid: (23.328135 , 13.106042)
Size: 5 | Area: 54828.457 | Centroid: (28.444292 , 25.288048)
Size: 4 | Area: 44089.465 | Centroid: (12.357371 , 16.367867)
Size: 4 | Area: 36754.79 | Centroid: (3.271285 , 35.314728)
Size: 5 | Area: 33676.188 | Centroid: (41.494682 , 38.43101)
Size: 2 | Area: 16920.568 | Centroid: (27.0 , 35.196747)
Size: 2 | Area: 11482.385 | Centroid: (45.0 , 21.57634)
Size: 3 | Area: 11144.808 | Centroid: (21.262547 , 45.30466)
Size: 2 | Area: 9704.179 | Centroid: (6.368464 , 49.0)
Size: 2 | Area: 8981.192 | Centroid: (0.0 , 14.486568)
Size: 2 | Area: 7577.874 | Centroid: (31.0 , 28.626244)
Size: 1 | Area: 5229.8594 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3883.6204 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3069.8315 | Centroid: (44.000004 , 49.0)
Size: 1 | Area: 2965.6384 | Centroid: (14.0 , 0.0)
Size: 1 | Area: 2815.5269 | Centroid: (47.999996 , 43.0)
Size: 1 | Area: 2756.9543 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2746.7166 | Centroid: (19.0 , 19.0)
