Index: 1120 | Bright Bodies: 20

Size: 33 | Area: 2309178.2 | Centroid: (39.855316 , 31.702314)
Size: 26 | Area: 1585287.0 | Centroid: (14.175889 , 42.539097)
Size: 15 | Area: 581650.44 | Centroid: (0.2932497 , 8.088289)
Size: 14 | Area: 195848.67 | Centroid: (9.1437235 , 36.921505)
Size: 8 | Area: 156433.52 | Centroid: (15.283325 , 48.89265)
Size: 6 | Area: 65712.31 | Centroid: (22.753513 , 13.45355)
Size: 6 | Area: 58153.125 | Centroid: (27.97171 , 25.558052)
Size: 6 | Area: 48922.836 | Centroid: (11.884089 , 16.566647)
Size: 4 | Area: 37306.797 | Centroid: (2.5334938 , 35.526043)
Size: 4 | Area: 31279.367 | Centroid: (41.29653 , 38.68903)
Size: 4 | Area: 24958.494 | Centroid: (26.361893 , 35.431355)
Size: 2 | Area: 11730.633 | Centroid: (44.307335 , 22.0)
Size: 3 | Area: 11286.429 | Centroid: (20.71833 , 45.71017)
Size: 2 | Area: 7181.0303 | Centroid: (42.494892 , 9.0)
Size: 1 | Area: 6242.8975 | Centroid: (31.000002 , 29.0)
Size: 1 | Area: 5156.7627 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3450.1733 | Centroid: (5.9999995 , 49.0)
Size: 1 | Area: 3314.894 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2768.7092 | Centroid: (41.0 , 19.0)
Size: 1 | Area: 2715.7378 | Centroid: (15.0 , 25.0)
