Index: 1569 | Bright Bodies: 21

Size: 31 | Area: 2300772.5 | Centroid: (39.681408 , 31.78246)
Size: 28 | Area: 1596266.2 | Centroid: (13.999014 , 42.685375)
Size: 15 | Area: 479187.06 | Centroid: (0.28217137 , 8.179578)
Size: 11 | Area: 189255.44 | Centroid: (8.979788 , 37.12134)
Size: 8 | Area: 98557.76 | Centroid: (15.305488 , 48.86527)
Size: 5 | Area: 64561.316 | Centroid: (22.539694 , 13.555703)
Size: 7 | Area: 60876.492 | Centroid: (27.81051 , 25.72299)
Size: 5 | Area: 46737.402 | Centroid: (11.650433 , 16.651611)
Size: 4 | Area: 38331.055 | Centroid: (2.4064834 , 35.647423)
Size: 4 | Area: 30080.707 | Centroid: (41.23747 , 38.765686)
Size: 4 | Area: 25337.754 | Centroid: (26.294674 , 35.552414)
Size: 2 | Area: 12075.753 | Centroid: (44.228622 , 22.0)
Size: 2 | Area: 9395.538 | Centroid: (20.471651 , 46.0)
Size: 2 | Area: 9064.701 | Centroid: (30.55734 , 29.000002)
Size: 2 | Area: 6265.2256 | Centroid: (39.0 , 38.516335)
Size: 1 | Area: 4874.2485 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4307.114 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3499.4172 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2909.486 | Centroid: (15.000001 , 24.999998)
Size: 1 | Area: 2785.5962 | Centroid: (29.999998 , 13.0)
Size: 1 | Area: 2780.7402 | Centroid: (18.0 , 19.0)
