Index: 546 | Bright Bodies: 22

Size: 30 | Area: 2294455.2 | Centroid: (40.29388 , 31.277493)
Size: 25 | Area: 1587174.0 | Centroid: (14.533034 , 42.19465)
Size: 17 | Area: 894052.06 | Centroid: (0.368316 , 7.81735)
Size: 8 | Area: 255417.9 | Centroid: (15.448786 , 48.88009)
Size: 15 | Area: 197068.11 | Centroid: (9.555625 , 36.575867)
Size: 7 | Area: 68142.94 | Centroid: (23.219778 , 13.016905)
Size: 6 | Area: 58104.76 | Centroid: (28.339764 , 25.135056)
Size: 6 | Area: 49253.246 | Centroid: (12.306 , 16.139843)
Size: 5 | Area: 37596.586 | Centroid: (3.2049234 , 35.156612)
Size: 5 | Area: 34179.92 | Centroid: (41.393795 , 38.36029)
Size: 2 | Area: 16815.879 | Centroid: (26.69262 , 35.0)
Size: 3 | Area: 13047.979 | Centroid: (44.778133 , 21.574911)
Size: 2 | Area: 11998.475 | Centroid: (6.2754917 , 49.0)
Size: 3 | Area: 9821.788 | Centroid: (43.00658 , 49.0)
Size: 2 | Area: 8908.184 | Centroid: (21.0 , 45.320446)
Size: 2 | Area: 8761.234 | Centroid: (31.000002 , 28.517197)
Size: 2 | Area: 6923.5684 | Centroid: (0.0 , 14.472891)
Size: 1 | Area: 4803.4375 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3484.248 | Centroid: (29.999998 , 12.0)
Size: 1 | Area: 3470.3237 | Centroid: (47.999996 , 42.0)
Size: 1 | Area: 3465.4807 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3025.4531 | Centroid: (14.0 , 0.0)
