Index: 1418 | Bright Bodies: 20

Size: 29 | Area: 2282543.8 | Centroid: (39.439705 , 31.914331)
Size: 28 | Area: 1599313.6 | Centroid: (13.691282 , 42.933136)
Size: 15 | Area: 347281.06 | Centroid: (0.24673335 , 8.420826)
Size: 14 | Area: 196745.17 | Centroid: (8.72824 , 37.326538)
Size: 5 | Area: 64523.914 | Centroid: (22.34255 , 13.791167)
Size: 7 | Area: 61687.258 | Centroid: (27.502048 , 25.900164)
Size: 6 | Area: 61281.14 | Centroid: (15.027001 , 48.955452)
Size: 6 | Area: 49594.824 | Centroid: (11.379991 , 16.951975)
Size: 5 | Area: 40148.67 | Centroid: (2.326656 , 35.845215)
Size: 5 | Area: 33070.426 | Centroid: (40.5756 , 39.04337)
Size: 3 | Area: 20695.29 | Centroid: (25.864172 , 35.763176)
Size: 2 | Area: 11520.755 | Centroid: (44.0 , 22.275406)
Size: 2 | Area: 9881.616 | Centroid: (20.314936 , 46.0)
Size: 2 | Area: 8231.902 | Centroid: (30.35263 , 29.000002)
Size: 2 | Area: 7491.8936 | Centroid: (41.999996 , 9.465065)
Size: 2 | Area: 6926.5205 | Centroid: (47.43447 , 43.0)
Size: 1 | Area: 4132.007 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3440.5164 | Centroid: (29.0 , 12.999999)
Size: 1 | Area: 2815.0784 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2682.5576 | Centroid: (13.0 , 1.0)
