Index: 852 | Bright Bodies: 19

Size: 32 | Area: 2302288.8 | Centroid: (39.820484 , 31.700502)
Size: 26 | Area: 1583807.2 | Centroid: (14.144171 , 42.52088)
Size: 15 | Area: 562348.75 | Centroid: (0.28637406 , 8.091956)
Size: 13 | Area: 192551.42 | Centroid: (9.093932 , 36.90157)
Size: 8 | Area: 157098.77 | Centroid: (15.232364 , 48.89301)
Size: 6 | Area: 65589.08 | Centroid: (22.723782 , 13.433422)
Size: 6 | Area: 57797.39 | Centroid: (27.942314 , 25.535185)
Size: 6 | Area: 48705.766 | Centroid: (11.853023 , 16.544119)
Size: 4 | Area: 37346.996 | Centroid: (2.5136 , 35.498962)
Size: 4 | Area: 31137.21 | Centroid: (41.28709 , 38.666805)
Size: 4 | Area: 24714.133 | Centroid: (26.34894 , 35.40945)
Size: 2 | Area: 11453.834 | Centroid: (44.296402 , 22.0)
Size: 3 | Area: 11060.093 | Centroid: (20.706974 , 45.694202)
Size: 2 | Area: 8472.14 | Centroid: (30.682867 , 29.0)
Size: 2 | Area: 7176.4424 | Centroid: (42.474426 , 9.0)
Size: 1 | Area: 4893.391 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3593.7205 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3431.7837 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2892.7017 | Centroid: (41.0 , 19.0)
