Index: 1956 | Bright Bodies: 19

Size: 33 | Area: 2312063.0 | Centroid: (40.038574 , 31.625252)
Size: 28 | Area: 1596198.1 | Centroid: (14.33928 , 42.485905)
Size: 15 | Area: 710413.94 | Centroid: (0.31850174 , 8.063801)
Size: 13 | Area: 195826.58 | Centroid: (9.325932 , 36.893612)
Size: 8 | Area: 178910.0 | Centroid: (15.373543 , 48.89326)
Size: 8 | Area: 72637.36 | Centroid: (22.982533 , 13.30332)
Size: 5 | Area: 56044.35 | Centroid: (28.156717 , 25.556992)
Size: 6 | Area: 49676.266 | Centroid: (12.038809 , 16.541859)
Size: 5 | Area: 39789.79 | Centroid: (2.7873006 , 35.45488)
Size: 4 | Area: 31990.928 | Centroid: (41.383686 , 38.6675)
Size: 4 | Area: 24949.14 | Centroid: (26.46677 , 35.408627)
Size: 2 | Area: 11761.264 | Centroid: (44.42868 , 21.999998)
Size: 2 | Area: 9381.137 | Centroid: (20.999998 , 45.597824)
Size: 1 | Area: 7000.1055 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5281.1245 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4803.015 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 4025.2068 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3076.8618 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 3013.932 | Centroid: (39.0 , 38.0)
