Index: 933 | Bright Bodies: 21

Size: 35 | Area: 2309684.2 | Centroid: (40.136578 , 31.419163)
Size: 28 | Area: 1591572.8 | Centroid: (14.407117 , 42.31191)
Size: 16 | Area: 781984.6 | Centroid: (0.3438251 , 7.9451385)
Size: 8 | Area: 220388.1 | Centroid: (15.380475 , 48.88522)
Size: 14 | Area: 195199.77 | Centroid: (9.41183 , 36.710617)
Size: 8 | Area: 70629.04 | Centroid: (23.065048 , 13.150023)
Size: 5 | Area: 53809.375 | Centroid: (28.307514 , 25.294525)
Size: 5 | Area: 44835.36 | Centroid: (12.159427 , 16.417734)
Size: 6 | Area: 40146.71 | Centroid: (2.9531734 , 35.35507)
Size: 5 | Area: 34209.61 | Centroid: (41.31246 , 38.461082)
Size: 4 | Area: 22690.375 | Centroid: (26.55005 , 35.271694)
Size: 4 | Area: 15905.832 | Centroid: (44.530685 , 21.5807)
Size: 2 | Area: 8877.5625 | Centroid: (21.0 , 45.41097)
Size: 2 | Area: 8861.456 | Centroid: (30.999998 , 28.61196)
Size: 1 | Area: 6816.173 | Centroid: (6.0000005 , 49.0)
Size: 2 | Area: 6732.8438 | Centroid: (48.0 , 42.54182)
Size: 1 | Area: 4728.959 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3267.46 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3071.7756 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 2964.4946 | Centroid: (44.0 , 49.0)
Size: 1 | Area: 2826.5588 | Centroid: (14.0 , 0.0)
