Index: 878 | Bright Bodies: 20

Size: 29 | Area: 2278471.0 | Centroid: (39.506763 , 31.79271)
Size: 28 | Area: 1596169.9 | Centroid: (13.775898 , 42.761036)
Size: 15 | Area: 380274.7 | Centroid: (0.24784096 , 8.323662)
Size: 13 | Area: 192144.75 | Centroid: (8.787264 , 37.19698)
Size: 7 | Area: 78866.42 | Centroid: (15.019712 , 48.92211)
Size: 5 | Area: 64462.523 | Centroid: (22.373524 , 13.687612)
Size: 6 | Area: 58606.93 | Centroid: (27.581123 , 25.758474)
Size: 5 | Area: 46830.727 | Centroid: (11.442538 , 16.80654)
Size: 4 | Area: 37887.484 | Centroid: (2.3070974 , 35.67383)
Size: 7 | Area: 37516.348 | Centroid: (40.62077 , 38.90463)
Size: 4 | Area: 23711.297 | Centroid: (26.23545 , 35.585594)
Size: 2 | Area: 9448.857 | Centroid: (20.34894 , 46.0)
Size: 1 | Area: 9100.959 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8739.733 | Centroid: (30.399855 , 29.0)
Size: 2 | Area: 7025.083 | Centroid: (47.509514 , 43.0)
Size: 1 | Area: 4532.4014 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3697.7195 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2808.4055 | Centroid: (29.0 , 13.000001)
Size: 1 | Area: 2729.9158 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2687.9956 | Centroid: (18.0 , 19.0)
