Index: 827 | Bright Bodies: 22

Size: 31 | Area: 2297405.0 | Centroid: (40.18132 , 31.391863)
Size: 27 | Area: 1587615.9 | Centroid: (14.443254 , 42.292973)
Size: 16 | Area: 813456.06 | Centroid: (0.33617786 , 7.9495726)
Size: 8 | Area: 227336.42 | Centroid: (15.389697 , 48.889503)
Size: 14 | Area: 195837.8 | Centroid: (9.447803 , 36.694664)
Size: 8 | Area: 70739.92 | Centroid: (23.10697 , 13.133845)
Size: 5 | Area: 55611.805 | Centroid: (28.308365 , 25.288525)
Size: 4 | Area: 43607.38 | Centroid: (12.241844 , 16.368105)
Size: 6 | Area: 40265.324 | Centroid: (2.9959762 , 35.33917)
Size: 5 | Area: 34602.977 | Centroid: (41.327553 , 38.452156)
Size: 3 | Area: 20253.008 | Centroid: (26.650026 , 35.16632)
Size: 4 | Area: 15996.637 | Centroid: (44.5573 , 21.577963)
Size: 2 | Area: 9218.662 | Centroid: (20.999998 , 45.408455)
Size: 2 | Area: 9037.392 | Centroid: (31.000002 , 28.6184)
Size: 1 | Area: 7026.3696 | Centroid: (6.0 , 49.0)
Size: 2 | Area: 6845.6436 | Centroid: (48.000004 , 42.54007)
Size: 1 | Area: 5084.26 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3406.0635 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3211.3704 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 2976.9036 | Centroid: (44.0 , 49.000004)
Size: 1 | Area: 2951.079 | Centroid: (14.000001 , 0.0)
Size: 1 | Area: 2884.296 | Centroid: (42.0 , 19.0)
