Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
0,2299469.8,1586981.4,982752.2,211500.3,193421.56
1,2298361.2,1584359.1,981268.94,207133.42,193560.72
2,2295342.8,1584140.2,975412.9,208063.03,193473.27
3,2296025.0,1583854.0,974560.1,208840.78,193525.05
4,2295039.5,1583399.5,966077.7,210647.61,193410.84
5,2294207.0,1582835.6,956598.25,210378.14,190674.2
6,2292964.0,1585556.0,948346.2,207844.9,190695.25
7,2292725.8,1585263.2,945381.2,206845.94,190654.89
8,2292615.0,1585297.4,939655.5,206068.23,190653.05
9,2292148.5,1584907.8,932081.0,206160.33,190531.55
10,2289451.2,1584728.2,937828.6,202317.02,190556.56
11,2289220.2,1584922.5,928682.06,204437.22,190472.45
12,2289043.0,1584882.2,925248.44,204430.88,190449.95
13,2288981.8,1584744.4,918516.9,206001.7,190368.44
14,2288905.5,1584872.4,914829.3,204383.45,190357.23
15,2288953.2,1584856.0,912092.06,203512.4,190282.28
16,2288586.5,1588155.8,901147.94,206885.4,193062.27
17,2288670.5,1587665.4,904986.56,204327.19,192921.47
18,2288439.5,1587562.2,902929.44,203391.89,193014.73
19,2288504.8,1587667.1,898707.5,202680.16,192944.98
20,2288539.0,1587205.1,899817.8,199358.53,192912.56
21,2288462.2,1587212.8,897859.6,199800.98,192881.73
22,2291672.2,1584686.5,882462.2,199676.72,192857.11
23,2292569.2,1584301.8,863645.44,198008.84,192927.1
24,2293007.0,1583055.5,855125.9,196680.5,192829.62
25,2293270.0,1582800.8,841848.56,194214.47,192935.52
26,2293118.8,1582494.6,819652.4,193029.02,190210.89
27,2292942.8,1582507.6,813410.9,190486.89,190261.25
28,2295706.0,1582397.6,798393.3,190346.44,188326.08
29,2295952.0,1579724.9,789488.25,190380.42,185905.62
30,2296128.0,1579677.4,778751.2,190426.69,188671.6
31,2298863.2,1579742.5,779509.75,190348.86,184442.67
32,2296741.8,1579886.6,769234.2,190452.7,176760.38
33,2294459.5,1579793.4,746025.8,190449.23,176508.88
34,2292087.0,1579731.0,733648.0,190477.3,174090.72
35,2292144.8,1579582.9,724580.2,190494.84,170684.58
36,2292280.8,1582015.8,701977.2,190401.88,168068.0
37,2292664.5,1582113.8,691129.94,192964.1,164814.47
38,2295505.8,1582047.4,671542.44,192882.39,159358.4
39,2296298.5,1581961.1,655691.1,192852.83,156554.8
40,2295279.2,1584632.6,639438.1,195540.8,147884.48
41,2294111.8,1584667.9,619053.0,193066.39,141401.25
42,2293302.8,1584850.1,601824.0,193166.1,136458.52
43,2293660.8,1584964.0,580410.25,193223.81,128742.59
44,2294386.0,1582718.9,694802.6,192037.4,166345.56
45,2294344.5,1578879.0,742565.44,190147.86,182220.27
46,2291961.2,1579005.6,730160.75,190027.3,176181.14
47,2294330.8,1578831.4,720333.6,190169.47,176952.81
48,2292843.2,1578859.4,709758.4,192553.4,169497.03
49,2292762.0,1578563.0,697277.9,192642.92,169388.03
50,2292883.0,1578538.8,691997.5,192518.92,167587.42
51,2294508.0,1580941.9,673663.94,192453.69,165250.75
52,2291926.0,1580869.1,676178.1,192476.42,164316.6
53,2293726.2,1578310.1,663556.0,192343.88,160043.64
54,2296899.5,1580932.1,652279.56,192395.6,157486.92
55,2294810.8,1583630.8,639550.6,194893.88,153212.77
56,2296083.2,1583756.0,622419.4,192499.72,148065.45
57,2295212.0,1586489.4,611817.25,192454.08,145962.1
58,2294185.5,1586574.4,602645.8,192614.14,139421.9
59,2296262.8,1586801.2,590131.6,192668.19,132339.44
60,2296313.5,1586936.1,575353.0,192678.9,128350.41
61,2296439.0,1584531.0,562807.7,192711.88,124428.82
62,2295434.0,1584946.8,545752.3,192693.97,116731.44
63,2294418.0,1585818.0,532856.8,190356.53,112069.41
64,2293738.2,1586387.1,522257.6,190399.4,109002.12
65,2292825.0,1587045.9,512470.9,190461.72,104386.9
66,2292260.2,1587595.4,502062.22,190499.19,97041.66
67,2292127.2,1590262.6,499720.8,190606.06,94485.58
68,2301860.8,1587684.4,617023.06,191681.56,147263.89
69,2294873.2,1585870.4,628932.3,192378.33,151916.61
70,2296531.0,1586003.6,618882.3,192344.78,148668.8
71,2295945.0,1586139.8,610287.6,192464.38,145314.16
72,2297382.2,1586165.1,606579.06,192500.14,143367.48
73,2296648.5,1586411.0,594618.0,192550.95,135828.8
74,2296445.2,1586479.9,581674.8,192626.77,132230.73
75,2296203.8,1586640.9,567299.56,192562.3,128164.65
76,2295655.5,1586777.8,555118.4,192627.12,124916.18
77,2294636.2,1584806.9,539506.44,192554.28,116986.266
78,2293281.0,1586098.8,519958.66,190244.28,109019.086
79,2292278.5,1586969.5,505711.44,190286.64,100056.21
80,2300661.8,1580825.6,707705.3,191088.48,175564.86
81,2298590.2,1577088.6,735469.9,191863.03,187764.0
82,2295788.5,1577149.9,722049.75,189260.36,180259.06
83,2293209.2,1574689.1,709582.44,191931.94,173749.38
84,2292543.0,1574519.1,687726.9,191881.8,171072.75
85,2292820.0,1579682.5,666165.4,191888.28,162726.77
86,2293681.2,1585020.4,651271.3,194446.84,159399.56
87,2297432.8,1585489.6,625409.8,192010.67,152426.06
88,2297606.2,1585722.8,607106.3,192135.66,146411.75
89,2296620.5,1586292.0,588724.4,192304.72,141037.4
90,2296827.5,1587004.4,574190.3,192584.22,135176.36
91,2297220.2,1588093.8,553992.1,193164.4,128047.92
92,2292002.5,1589915.2,988749.56,298622.44,193133.34
93,2296164.0,1590712.4,990131.9,290442.1,193216.06
94,2293683.8,1591015.4,986320.75,288744.7,193427.75
95,2293250.2,1591030.9,975718.94,291581.7,193669.1
96,2293356.0,1590899.4,977136.1,283689.47,193265.88
97,2293005.2,1590471.8,974984.8,277019.1,192880.2
98,2292363.0,1589566.5,969739.25,271393.0,192302.62
99,2291477.8,1588451.5,964351.5,269206.9,192059.23
100,2291108.2,1587824.1,965845.94,263865.62,191585.47
101,2290511.8,1587122.4,961481.4,261515.62,191538.1
102,2293344.5,1587083.4,957503.6,253398.94,191322.98
103,2293146.0,1586792.9,950004.2,252188.83,191358.72
104,2293346.5,1586681.8,951301.3,249772.9,191237.27
105,2292818.8,1586738.2,939051.4,254862.48,191413.64
106,2295809.0,1586625.2,936307.1,247679.03,191285.66
107,2293296.8,1584136.8,926638.3,243259.67,193743.4
108,2296054.5,1587956.4,917670.5,241381.7,193953.16
109,2296160.2,1589568.9,908419.1,243209.97,193952.12
110,2296247.8,1589927.8,903228.0,237460.69,194050.36
111,2296326.0,1587836.2,897584.4,233715.2,194024.45
112,2297356.8,1588906.0,878793.9,232734.4,194256.16
113,2297385.2,1588916.9,872301.2,230737.2,194247.81
114,2297211.5,1588916.2,860918.8,225484.64,194310.6
115,2294509.8,1585024.4,849021.4,224905.52,194435.56
116,2295394.0,1585522.5,842176.0,226934.12,194529.92
117,2293099.8,1581645.1,827460.94,217362.62,194535.61
118,2291213.8,1580000.2,813979.56,210295.03,194408.06
119,2297097.8,1579233.5,799306.6,206842.75,194453.98
120,2295825.0,1579087.4,782075.3,203256.42,194357.47
121,2298442.5,1579039.9,770982.44,197888.16,194328.8
122,2299702.0,1573671.9,745847.7,196881.0,194319.1
123,2299532.2,1573942.4,735887.75,191714.39,191314.89
124,2299087.0,1573798.5,728374.6,191669.48,188566.11
125,2300033.5,1574135.0,727266.44,194261.95,181432.97
126,2299396.0,1573863.5,702542.7,191701.28,184193.58
127,2294376.0,1576521.8,691340.7,194280.73,179360.77
128,2295046.0,1579187.8,687140.6,194314.86,175521.28
129,2294190.2,1581954.1,666730.6,194210.52,170812.44
130,2294927.5,1582126.2,654044.75,194247.64,166018.86
131,2294376.2,1582225.9,642170.2,196717.67,164073.94
132,2297085.0,1585177.8,625258.56,194316.05,157763.66
133,2296329.0,1585157.1,615278.9,194143.31,158328.78
134,2296172.5,1585557.8,600818.9,191886.03,150156.55
135,2296523.0,1585643.9,601732.8,191983.58,147088.92
136,2295939.2,1585795.0,589379.44,192154.36,142463.3
137,2295811.0,1585989.8,569962.6,192148.2,135535.06
138,2295179.2,1586147.4,550664.94,192120.27,131634.48
139,2303259.8,1585329.8,675339.1,193407.94,176178.9
140,2299161.5,1573646.9,707582.7,191613.84,185322.2
141,2297295.2,1576278.5,695183.5,194248.48,181580.4
142,2295840.0,1576342.0,676610.8,194166.45,178118.3
143,2294944.0,1581833.5,661435.8,194154.88,171202.81
144,2294648.0,1581927.0,643745.2,196621.31,165765.1
145,2294088.2,1584869.9,631991.3,194198.17,158966.27
146,2296488.8,1585089.8,616863.6,191604.86,156265.66
147,2296056.5,1585237.1,602326.6,191707.05,155213.98
148,2295332.5,1585451.5,594015.4,191825.19,149919.81
149,2295472.8,1585446.6,594137.25,191816.77,150724.83
150,2295501.8,1585423.4,590604.9,191980.27,146351.38
151,2295728.2,1585640.6,582443.7,191954.39,142291.45
152,2295540.8,1585615.6,571614.6,192040.88,138979.42
153,2295668.2,1585694.6,571087.5,191951.22,138650.64
154,2295470.8,1585698.8,552527.94,192052.98,133828.27
155,2295605.2,1585918.9,551619.94,192040.48,130694.54
156,2294561.2,1585704.2,543475.06,192026.72,132618.45
157,2294602.0,1585792.4,543193.06,191990.34,131499.53
158,2295399.5,1585861.4,547770.1,192156.5,128314.164
159,2294912.2,1585894.2,540788.2,192141.61,126971.16
160,2294145.2,1585864.8,538463.94,191945.1,128539.664
161,2294005.2,1586065.8,535423.06,192076.92,125504.39
162,2293421.8,1586033.2,531367.44,192001.48,124634.055
163,2292725.0,1586188.5,526558.7,192134.03,120929.97
164,2292118.2,1586546.1,520588.3,192091.14,118226.93
165,2291771.2,1586895.0,517677.75,192052.75,115663.87
166,2291222.8,1587205.5,512734.56,192049.1,113474.055
167,2290870.8,1587334.4,509392.16,191986.47,112441.625
168,2290734.0,1587377.6,505840.72,189440.36,111663.46
169,2290354.0,1587965.2,497973.2,189502.03,105852.52
170,2290610.8,1587867.9,500320.75,189450.08,106003.555
171,2290505.0,1588442.6,490127.88,189569.19,100423.55
172,2293111.2,1588796.9,482290.5,189439.81,97968.98
173,2293247.0,1588856.0,478602.38,189469.89,96750.23
174,2293094.2,1589083.9,472716.53,189350.6,96030.086
175,2300819.8,1586083.1,637497.06,195610.64,162774.03
176,2295706.0,1581156.5,673194.06,193997.5,176450.52
177,2295745.0,1581123.2,676237.75,193972.72,173032.53
178,2293989.8,1581150.5,670732.6,193998.03,173094.44
179,2294819.5,1581281.6,662810.6,193931.23,170700.3
180,2295040.0,1581463.4,655564.9,193910.78,168690.12
181,2295103.0,1581437.0,653298.75,193906.12,168053.23
182,2294985.2,1581421.1,647840.5,193759.25,166784.45
183,2294901.2,1581424.9,646725.6,193780.75,167513.42
184,2294688.5,1581520.1,639914.1,196399.28,163553.7
185,2294246.5,1581595.6,633027.2,196457.77,164313.47
186,2293540.8,1584292.2,627166.06,191349.73,158559.8
187,2293758.2,1591969.5,1011546.06,346206.97,191358.75
188,2293802.2,1591413.5,1016437.56,356079.22,191908.55
189,2296142.2,1591095.5,1020301.5,364029.7,189226.9
190,2302024.0,1590022.8,1029222.8,375674.88,189895.62
191,2304741.2,1589161.6,1032245.9,380227.6,190164.4
192,2305176.0,1585427.0,1035652.44,383143.66,187543.7
193,2304513.2,1584360.1,1036925.25,385678.53,190478.88
194,2301770.5,1593825.9,890281.06,266361.9,193284.62
195,2296933.0,1589648.9,881137.4,243054.16,194176.55
196,2296604.2,1589609.6,887036.6,246378.48,194054.52
197,2295535.2,1589223.2,900141.5,251526.88,193976.55
198,2295213.0,1588415.8,907421.8,255501.06,193901.77
199,2297781.8,1590411.1,913354.75,256737.25,191261.45
200,2297448.0,1586918.0,919374.7,260467.47,191306.7
201,2297426.8,1586757.0,924836.8,265279.2,191477.73
202,2297201.2,1585409.6,935263.2,264753.56,191359.98
