Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
115,291050.47,222066.33,113726.05,57221.836,44107.26
116,291131.53,222124.14,113712.83,57232.95,44124.2
117,291195.47,221687.34,113790.51,57188.07,44114.71
118,291958.75,221164.64,113861.625,57974.918,44117.11
119,292674.94,221735.7,113893.29,58004.05,44105.414
120,292645.0,222271.58,113885.836,58000.406,44145.492
121,291825.9,223446.31,113874.43,57994.293,44159.77
122,291742.53,223076.39,114680.43,58005.637,43394.066
123,291025.75,223895.11,114693.805,57972.918,43390.426
124,291082.3,223936.66,114719.83,57971.31,43407.316
125,291153.25,223744.81,114744.125,57941.4,43390.496
126,291142.03,223852.75,113941.06,57934.527,43436.48
127,291149.72,223913.44,113925.9,57917.242,43437.824
128,291146.88,223762.28,113959.016,58686.16,43431.85
129,291115.0,223711.02,113972.81,57907.78,43440.055
130,291005.16,223936.1,113944.37,57890.965,43449.477
131,291070.03,223668.62,113964.24,57905.395,43423.535
132,291073.3,224428.55,113120.48,57103.15,43413.0
133,290998.75,224594.92,113115.28,57136.227,43412.895
134,291752.97,224136.66,113124.37,57107.633,44358.36
135,291723.47,224278.58,113098.875,57092.72,44389.168
136,292539.1,224250.75,113057.0,57087.258,44374.766
137,292450.34,224049.98,113792.4,57090.926,43258.953
138,293254.2,224191.23,113794.89,57119.266,44001.492
139,291629.7,223637.12,113753.14,57745.324,43212.78
140,291046.97,223813.38,113907.84,57939.17,43421.973
141,291112.3,223930.64,113925.7,57928.992,43417.234
142,291037.44,223774.77,113906.484,57138.984,43448.48
143,291024.5,223691.03,113935.55,57916.094,43427.066
144,290987.25,223719.39,113924.63,57877.863,43440.91
145,290922.4,224469.44,113902.76,57057.33,43413.74
146,291040.03,224260.17,113093.04,57089.46,43383.133
147,291822.47,224458.62,113062.336,57103.184,43546.703
148,291847.66,224303.81,113039.31,57074.57,44348.508
149,291776.4,224271.48,113041.93,57087.812,44356.305
150,291708.62,224405.55,113010.305,56250.734,44346.24
151,292561.94,224124.81,113004.54,56259.152,44355.465
